title,description,bestsellers-rank,authors
Getting a Dial Tone : Telecommunications Liberalisation in Malaysia and the Philippines,"A decade after the above quote, far reaching reforms in the telecommunications sector has dramatically changed the situation in both the Philippines and Malaysia. By looking at the institutions and actors that drove these changes, this book examines state capacity, market reform, and rent-seeking in the two countries. In doing so, the study challenges conventional depictions of the Malaysian and Philippine states. In Malaysia, although considered a strong state, patronage and rent-seeking played key roles in policy adoption and implementation.",3679776.0,S. Pellegrino
A Guide to the Plants in the Blue Mountains of Jamaica,"An easy-to-use Jamaican nature guide, identifying over 400 species and containing over 160 colour photographs and 250 line drawings. The text is designed to give botanists and the more casual observer an opportunity to become familiar with the plants that grow in the Blue Mountain Range. This guide fosters a deeper understanding of the unique beauty and diversity of the mountain forest. More than fifty percent of the plants described in the book occur only in the Blue Mountain Forests of Jamaica and nowhere else in the world. The Blue Mountain Forests are currently threatened by agricultural activities, particularly on the southern slopes, and many of the unique species described in the book are threatened with extinction.",3677395.0,U S Nuclear Regulatory Commission
DESERT PLANTS OF EGYPT'S WADI EL GEMAL NATIONAL PARK,"The vegetation in Wadi El Gemal National Park in Egypt's Eastern Desert is more diverse than might first be expected, but even more surprising is the relationship that the desert dwellers continue to have with the plant life in their habitat, despite the increasing modernization of their world. As a ranger in the park, Tamer Mahmoud quickly realized the importance of surveying, identifying, and documenting the indigenous plants, and recording the information he compiled from interviews with the local community about how they use the plants for food, healing, animal fodder, and fuel. The result is this detailed and colorful guide, which includes photographs of each plant, the scientific name and local name in Arabic and English, and information on location, distribution, uses, and ecology. A glossary, bibliography, visitors' information section and distribution maps make this a comprehensive reference work that will interest visitors, scientists, anyone interested in the flora of arid areas, and even anthropologists.",3676871.0,Theresa Shea
The Language of English Studies : A Handbook for Advanced Students of English,"This book offers advanced students help both in writing and in understanding written English. Wherever possible questions of organization, grammar, style and technique are related to purpose and meaning, with the twofold aim of increasing awareness of general effects in writing and encouraging a closer attention to detail. Students are invited to note how grammatical and stylistic choices can alter meaning, and how different linguistic forms relate to different language varieties. Whilst recommending adherence to grammatical and formal conventions of writing, this book also shows how deviation from conventions can create special meanings or carry particular associations. The purpose is to integrate efforts to improve writing with a more general interest in how the English language works.",3675868.0,Professor Emily W. Kane
A Paradise Lost : The Imperial Garden Yuanming Yuan,"This book is aimed at readers and researchers who are interested in Chinese garden architecture, the rise and fall of Yuanming Yuan and the history of the Qing dynasty. It is the first comprehensive study of the palatial garden complex in a Western language, and is amply illustrated with photographs and original drawings.  Young-tsu Wong's engaging writing style brings ""the garden of perfect brightness"" to life as he leads readers on a grand tour of its architecture and history.",3673399.0,Virginia McKenna
Application of Geometric Algebra to Electromagnetic Scattering : The Clifford-Cauchy-Dirac Technique,This work presents the Clifford-Cauchy-Dirac (CCD) technique for solving problems involving the scattering of electromagnetic radiation from materials of all kinds.,3673333.0,Rupert Gerritsen
Diverticulosis : Natural Drugless Treatments That Work,"Many people are told by their doctors that they must ""live"" with their Diverticulosis without guidance on how to cure it. Dr Georgiou has personally treated hundreds of cases of Diverticulosis successfully using the Da Vinci Natural Diverticulosis Protocol devised by himself. The underlying causative factors such as food intolerances, chronic inflammation, dysbiosis, SIBO, leaky-gut, digestive issues, Candida, parasites and more can be maintaining your Diverticulosis and this book explains in a simple-to-follow way how to eliminate these causes.",3672945.0,J. Thomas
Azul,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.",3672543.0,Alba Nora Martinez
"Timeless Travels : Tales of Mystery, Intrigue, Humor & Enchantment","Who is today's American Jew? Joseph Rotenberg styles himself as a modern-day maggid (traditional Jewish storyteller), weaving tales from the everyday to the fantastic, each one bringing the reader a slice of the American Jewish experience. Just as Sholem Aleichem did more than a hundred years ago in his famous stories describing Russian Jewish life, these tales inform and entertain by uncovering little-known events and personalities that have impacted the American Jewish world.",3671563.0,Matthew K Burns
Dynamics Of The Vascular System,"Recent advances in vascular biology and vascular engineering have led to the understanding and integration of the two fields. A feature that is fundamental to both is the dynamic aspects of the vascular system. Although the basic principles governing blood flow and the circulatory function are known, new approaches to examining the interaction of different parts of the vascular system have emerged. These include measurement techniques and quantitative methods with greater use of modern technology and computer modeling. An obvious need therefore exists for a book that deals specifically with the dynamics of the vascular system.This book begins with the historical discoveries of the features of the vascular system and its importance in the overall circulatory function. Modern aspects of vascular biology in terms of structure and function are then described, followed by the introduction of physical principles and basic fluid mechanics for quantitative analysis. The hemodynamics of large arteries, the optimal structure of vascular branching and the pulsatile energy transmission and modeling aspects are elaborated. These are extended to analyze the function of the venous system and the microcirculation. Finally, the integrated vascular system and its response and adaptation to diseased conditions, such as aging, stenosis, hypertension, myocardial ischemia, atheroslerosis and stroke are explained. The overall emphasis is on the dynamic nature of the vascular system.",3671480.0,Jean D'Ormesson
"Manufacturing Science, Volume I","Written for second year undergraduate engineering students, this textbook on manufacturing science explains the fundamentals of fabrication processes such as foundry, forming, welding and related conventional and non-conventional processes. It is written in a question and answer format, making it easy to understand. The descriptions are also supported with simple illustrations and solved numerical examples. The book has extensive coverage of theory, derivation of formulae and solved questions from past examinations.",3670520.0,Roger S. McIntyre
Governing land for women and men : a technical guide to support the achievement of responsible gender-equitable governance of land tenure,"This publication focuses on equity and on how land tenure can be governed in ways that address the different needs and priorities of women and men. It moves away from long-standing debates about gender equality in access to land, towards the mainstreaming of gender issues to achieve more gender-equitable participation in the processes and institutions that underlie all decision-making about land. It includes sections on policy-making including monitoring indicators, gender-equitable land governance and other legal issues, capacity development for gender-equitable land tenure institutions, and technical issues such as planning, valuation, taxation and reform.",3668736.0,Ana María de la Fuente Rodríguez;
Identifying Opportunities for Climate-Smart Agriculture Investments in Africa,"This paper proposes a methodology for examining the potential of existing NAFSIPs to generate climate change benefits. The paper proposes a two-phase approach: (i) an initial scoping phase to review financing/investment issues and develop a rapid screening methodology for CAADP investment plans to identify programs and activities that generate adaptation and mitigation benefits; and (ii) a second phase of in-depth analysis, including estimation of adaptation/mitigation potentials using baseline emissions levels and identification of possible eligibility criteria for climate-smart programs and activities.",3668726.0,Ana María de la Fuente Rodríguez;
"Advances in the Assessment and Monitoring of Salinization and Status of Biosalin Agriculture : Report of an Expert Consultation Held in Dubai, United Arab Emirates 26-29 November 2007","The causes of salinity and sodicity, which vary between countries and regions, need to be identified, assessed and monitored carefully so that they can be managed and controlled. There is a need for practical and cost-effective methodologies for assessing, monitoring and mapping the extent and distribution of salt-affected soils; for identifying the causes and sources of the problem; and for choosing management options and evaluating the effectiveness of those options. The objective of this expert consultation was to exchange experiences with data collection and analysis for the assessment and monitoring of salinity and sodicity, with particular emphasis on practical applications at local, national, regional and global levels. Abstracts of the papers presented are included in this report, while full papers are included in the accompanying CD.",3668702.0,A. Aimee
From corporate social responsibility to corporate sustainability : moving the agenda forward in Asia and the Pacific,"This publication looks at recent developments in corporate social responsibility (CSR) with particular attention to the growing role of impact investment and the need for greater convergence of global CSR instruments and provides recommendations to policymakers to enhance the adoption of CSR as an integral part of business strategy and operations. Increasingly, companies are adopting sustainable business practices as an integral element of their corporate strategies, going beyond the traditional interpretation of CSR and engage in social or impact investment and/or play active roles in development cooperation, including the provision of disaster relief and humanitarian assistance. Various global CSR instruments and sustainability frameworks, such as the Global Compact, Global Reporting Initiative and ISO 26000, have been in existence for some time and have been increasingly adopted by many companies, usually the bigger transnational corporations (TNCs)",3668364.0,Sachiko Morimoto
Islam at the Tropenmuseum,"This beautifully illustrated book presents for the first time the rich Islamic collections of the Tropenmuseum in Amsterdam. Highlighting over 100 artworks and everyday objects, the author demonstrates how Muslims, from the beginning of Islam to the present day, have expressed their faith in art and culture. The book features a wide variety of artifacts from different regions of the world, from Southeast Asia to the Middle East, from West Africa to the Caribbean. Figurative paintings and prints, works of calligraphy and everyday objects embellished with religious motifs testify to the extraordinary richness and diversity of Islamic artistic expression.",3668127.0,Marilyn Heimberg Ross
Human Dimensions of the Ecosystem Approach to Fisheries : An Overview: FAO Fisheries Technical Paper 489,"This report is designed to cover a wide range of topics accessible to those in all fisheries areas and disciplines, this report describes the role of the economic, institutional and sociocultural components within the ecosystem approach to fisheries. It provides essential background material on key concepts and issues, on the valuation of aquatic ecosystems, and on relevant policy, legal, institutional, social and economic considerations",3667720.0,A. Aimee
Electrochemical DNA Biosensors,"This book focuses on the basic electrochemical applications of DNA in various areas, from basic principles to the most recent discoveries. The book comprises theoretical and experimental analysis of various properties of nucleic acids, research methods, and some promising applications. The topics discussed in the book include electrochemical detection of DNA hybridization based on latex/gold nanoparticle and nanotube; nanomaterial-based electrochemical DNA detection; electrochemical detection of microorganism-based DNA biosensor; gold nanoparticle-based electrochemical DNA biosensors; electrochemical detection of the aptamer-target interaction: nanoparticle-induced catalysis for DNA biosensing; basic terms regarding electrochemical DNA (nucleic acids) biosensors; screen-printed electrodes for electrochemical DNA detection: application of field-effect transistors to label free electrical DNA biosensor arrays; and electrochemical detection of nucleic acids using branched DNA amplifiers.",3667622.0,Steve Tsang
Building and Renovating with Reclaimed Materials,"The beauty of using antique building materials is the immediate effects that they have on interiors; they provide timeless and inimitable style to new as well as renovated homes. Reclaimed wooden floors, old terracotta tiles, traditional Burgundy slabs, old roof tiling, antique fireplaces...all of these items slide perfectly into both contemporary and classic surroundings. This title showcases the best examples of the partnership between the old and the new, through stunning and inspirational photographs.",3667545.0,Leanne Whitney
Somali-English and English-Somali dictionary,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. We have represented this book in the same form as it was first published. Hence any marks seen are left intentionally to preserve its true nature.,3667010.0,William B. McGregor
Nobel Lectures In Physiology Or Medicine 2001-2005,"This volume is a collection of the Nobel Lectures delivered by the prizewinners, together with their biographies and the presentation speeches at the award ceremonies in Stockholm for the period 2001 - 2005. Each Nobel Lecture is based on the work for which the laureate was awarded the prize. This volume of inspiring lectures should be on the bookshelf of every keen student, teacher and professor of physiology/medicine as well as of those in related fields.The following is a list of the Nobel laureates during 2001 - 2005 with a description of the works that won them their prizes:(2001) Leland H Hartwell, Tim Hunt & Sir Paul Nurse - for their discoveries of key regulators of the cell cycle; (2002) Sydney Brenner, H Robert Horvitz & John E Sulston - for their discoveries concerning genetic regulation of organ development and programmed cell death; (2003) Paul C Lauterbur & Sir Peter Mansfield - for their discoveries concerning magnetic resonance imaging; (2004) Richard Axel & Linda B Buck - for their discoveries of odorant receptors and the organization of the olfactory system; (2005) Barry J Marshall & J Robin Warren - for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease.",3666341.0,Jeffrey Benson
